record_id,run_id,name,category_raw,city,phone_masked,phone_type,website_platform,website_domain,store_key,instagram_handle,name_location_count,evidence_url,icp_label,label_note
google_maps:ChIJlRtglOTbwxURz5h-FdeXntQ,2026-09-17__full_A_aesthetic_clinics__jeddah,مجمع عيادات الجمال الأبدي Eternal Beauty clinic,Medical Center,Jeddah,+9665•••••911,mobile,own_site,eternalbeauty.sa,,eternalbeautysa,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%AC%D9%85%D8%B9%20%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA%20%D8%A7%D9%84%D8%AC%D9%85%D8%A7%D9%84%20%D8%A7%D9%84%D8%A3%D8%A8%D8%AF%D9%8A%20Eternal%20Beauty%20clinic&query_place_id=ChIJlRtglOTbwxURz5h-FdeXntQ,,
google_maps:ChIJVeV6eQDbwxUREOadhKldo3Q,2026-09-17__full_A_aesthetic_clinics__jeddah,مجمع عيادات الصائغ كير الطبي,Cosmetic dentist,Jeddah,+9665•••••806,mobile,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%AC%D9%85%D8%B9%20%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B5%D8%A7%D8%A6%D8%BA%20%D9%83%D9%8A%D8%B1%20%D8%A7%D9%84%D8%B7%D8%A8%D9%8A&query_place_id=ChIJVeV6eQDbwxUREOadhKldo3Q,,
google_maps:ChIJzflf76jFwxURWEQJ8ofdULg,2026-09-17__full_A_aesthetic_clinics__jeddah,Dr Mohammed Bakkar د محمد بكر,Endodontist,Jeddah,+9661•••••999,landline,instagram,,,drmohammedbakkar,1,https://www.google.com/maps/search/?api=1&query=Dr%20Mohammed%20Bakkar%20%D8%AF%20%D9%85%D8%AD%D9%85%D8%AF%20%D8%A8%D9%83%D8%B1&query_place_id=ChIJzflf76jFwxURWEQJ8ofdULg,,
google_maps:ChIJUw8-DpPFwxURNY4T4ZRZYQg,2026-09-17__full_A_aesthetic_clinics__jeddah,د.محمد عباس ازمرلي Dr.Mohammad Ezmerli البورد الالماني في طب الامراض الجلدية والامريكي في التجميل,Dermatologist,Jeddah,+9665•••••831,mobile,own_site,drezmerli.com,,,1,https://www.google.com/maps/search/?api=1&query=%D8%AF.%D9%85%D8%AD%D9%85%D8%AF%20%D8%B9%D8%A8%D8%A7%D8%B3%20%D8%A7%D8%B2%D9%85%D8%B1%D9%84%D9%8A%20Dr.Mohammad%20Ezmerli%20%D8%A7%D9%84%D8%A8%D9%88%D8%B1%D8%AF%20%D8%A7%D9%84%D8%A7%D9%84%D9%85%D8%A7%D9%86%D9%8A%20%D9%81%D9%8A%20%D8%B7%D8%A8%20%D8%A7%D9%84%D8%A7%D9%85%D8%B1%D8%A7%D8%B6%20%D8%A7%D9%84%D8%AC%D9%84%D8%AF%D9%8A%D8%A9%20%D9%88%D8%A7%D9%84%D8%A7%D9%85%D8%B1%D9%8A%D9%83%D9%8A%20%D9%81%D9%8A%20%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84&query_place_id=ChIJUw8-DpPFwxURNY4T4ZRZYQg,,
google_maps:ChIJEZLGIAHRwxUR014zRs1J4l0,2026-09-17__full_A_aesthetic_clinics__jeddah,عيادات آلبا الابتسامة الطبية - فرع الربوة,Cosmetic dentist,Jeddah,,none,salla,,salla.sa/albaclincs,,1,https://www.google.com/maps/search/?api=1&query=%D8%B9%D9%8A%D8%A7%D8%AF%D8%A7%D8%AA%20%D8%A2%D9%84%D8%A8%D8%A7%20%D8%A7%D9%84%D8%A7%D8%A8%D8%AA%D8%B3%D8%A7%D9%85%D8%A9%20%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9%20-%20%D9%81%D8%B1%D8%B9%20%D8%A7%D9%84%D8%B1%D8%A8%D9%88%D8%A9&query_place_id=ChIJEZLGIAHRwxUR014zRs1J4l0,,
google_maps:ChIJMfmNH4vbwxURcqVMvg522WI,2026-09-17__full_A_aesthetic_clinics__jeddah,BellaDerm Cilinc,Beautician,Jeddah,+9665•••••489,mobile,own_site,belladerm-c.com,,,1,https://www.google.com/maps/search/?api=1&query=BellaDerm%20Cilinc&query_place_id=ChIJMfmNH4vbwxURcqVMvg522WI,,
google_maps:ChIJrTv4n92l_CARH_ShKXuQU8U,2026-09-17__full_A_aesthetic_clinics__jeddah,عيادة الدكتورة رحاب الحربي | جلدية، تجميل، ليزر,Dermatologist,Jeddah,+9665•••••929,mobile,own_site,drrehabalharbi.com,,dr.rehabalharbi,1,https://www.google.com/maps/search/?api=1&query=%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9%20%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%D8%A9%20%D8%B1%D8%AD%D8%A7%D8%A8%20%D8%A7%D9%84%D8%AD%D8%B1%D8%A8%D9%8A%20%7C%20%D8%AC%D9%84%D8%AF%D9%8A%D8%A9%D8%8C%20%D8%AA%D8%AC%D9%85%D9%8A%D9%84%D8%8C%20%D9%84%D9%8A%D8%B2%D8%B1&query_place_id=ChIJrTv4n92l_CARH_ShKXuQU8U,,
google_maps:ChIJlRI2pIPbwxURIU6P--f2a6g,2026-09-17__full_A_aesthetic_clinics__jeddah,pioneer care clinic - مجمع عناية الرواد,Specialized clinic,Jeddah,+9665•••••621,mobile,linktree,,,pioneercarepcc,1,https://www.google.com/maps/search/?api=1&query=pioneer%20care%20clinic%20-%20%D9%85%D8%AC%D9%85%D8%B9%20%D8%B9%D9%86%D8%A7%D9%8A%D8%A9%20%D8%A7%D9%84%D8%B1%D9%88%D8%A7%D8%AF&query_place_id=ChIJlRI2pIPbwxURIU6P--f2a6g,,
google_maps:ChIJpWU3PxrbwxUR5jHLl13AXd0,2026-09-17__full_A_aesthetic_clinics__jeddah,اللمسة التجميلية,Dental clinic,Jeddah,+9665•••••856,mobile,own_site,cosmetictouch.net,,,1,https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D9%84%D9%85%D8%B3%D8%A9%20%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D9%8A%D9%84%D9%8A%D8%A9&query_place_id=ChIJpWU3PxrbwxUR5jHLl13AXd0,,
google_maps:ChIJ1XrmFgDRwxURqRzODqV7KpQ,2026-09-17__full_A_aesthetic_clinics__jeddah,مجمع عالية الفريد الطبي المتخصص جلدية - تجميل - ليزر - تقشير,Medical clinic,Jeddah,,none,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%AC%D9%85%D8%B9%20%D8%B9%D8%A7%D9%84%D9%8A%D8%A9%20%D8%A7%D9%84%D9%81%D8%B1%D9%8A%D8%AF%20%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%20%D8%A7%D9%84%D9%85%D8%AA%D8%AE%D8%B5%D8%B5%20%D8%AC%D9%84%D8%AF%D9%8A%D8%A9%20-%20%D8%AA%D8%AC%D9%85%D9%8A%D9%84%20-%20%D9%84%D9%8A%D8%B2%D8%B1%20-%20%D8%AA%D9%82%D8%B4%D9%8A%D8%B1&query_place_id=ChIJ1XrmFgDRwxURqRzODqV7KpQ,,
