record_id,run_id,name,category_raw,city,phone_masked,phone_type,website_platform,website_domain,store_key,instagram_handle,name_location_count,evidence_url,icp_label,label_note
google_maps:ChIJW0SSt5nJwxURgry8-aF7o_k,2026-09-17__full_B_custom_furniture__jeddah,متجر طاولات,,Jeddah,,none,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%AA%D8%AC%D8%B1%20%D8%B7%D8%A7%D9%88%D9%84%D8%A7%D8%AA&query_place_id=ChIJW0SSt5nJwxURgry8-aF7o_k,,
google_maps:ChIJZ83k_WXRwxURi3ZVdgapI8w,2026-09-17__full_B_custom_furniture__jeddah,Arabian Gulf Curtains ستائر الخليج العربي,Curtain store,Jeddah,+9665•••••558,mobile,instagram,,,jed_786,1,https://www.google.com/maps/search/?api=1&query=Arabian%20Gulf%20Curtains%20%D8%B3%D8%AA%D8%A7%D8%A6%D8%B1%20%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC%20%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A&query_place_id=ChIJZ83k_WXRwxURi3ZVdgapI8w,,
google_maps:ChIJwcw7h8DRwxURAeXJsHVuMJM,2026-09-17__full_B_custom_furniture__jeddah,Miro Furniture,Furniture store,Jeddah,,none,own_site,miro-sa.com,,,1,https://www.google.com/maps/search/?api=1&query=Miro%20Furniture&query_place_id=ChIJwcw7h8DRwxURAeXJsHVuMJM,,
google_maps:ChIJi3xGgLbRwxURUjTHm9IXwEA,2026-09-17__full_B_custom_furniture__jeddah,معرض التصاميم,Furniture store,Jeddah,,none,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B9%D8%B1%D8%B6%20%D8%A7%D9%84%D8%AA%D8%B5%D8%A7%D9%85%D9%8A%D9%85&query_place_id=ChIJi3xGgLbRwxURUjTHm9IXwEA,,
google_maps:ChIJJXwO_-7RwxURYfoHi3JJX1w,2026-09-17__full_B_custom_furniture__jeddah,ستائر الخليج,Curtain store,Jeddah,+9665•••••180,mobile,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D8%B3%D8%AA%D8%A7%D8%A6%D8%B1%20%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC&query_place_id=ChIJJXwO_-7RwxURYfoHi3JJX1w,,
google_maps:ChIJGbVEkBLawxURQoR5zM17AjQ,2026-09-17__full_B_custom_furniture__jeddah,معرض حراء للستائر والديكور,Curtain store,Jeddah,+9665•••••164,mobile,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B9%D8%B1%D8%B6%20%D8%AD%D8%B1%D8%A7%D8%A1%20%D9%84%D9%84%D8%B3%D8%AA%D8%A7%D8%A6%D8%B1%20%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%83%D9%88%D8%B1&query_place_id=ChIJGbVEkBLawxURQoR5zM17AjQ,,
google_maps:ChIJdwt9x3_RwxURol9i7AZPYSg,2026-09-17__full_B_custom_furniture__jeddah,Al-Khayal Home,Furniture store,Jeddah,+9665•••••654,mobile,none,,,,1,https://www.google.com/maps/search/?api=1&query=Al-Khayal%20Home&query_place_id=ChIJdwt9x3_RwxURol9i7AZPYSg,,
google_maps:ChIJ6XQWdl_QwxURyISMOLIC69A,2026-09-17__full_B_custom_furniture__jeddah,مفروشات مجموعة العالمى معرض امدر للاثاث - جدة,Furniture store,Jeddah,+9665•••••358,mobile,own_site,globalgroup.com.sa,,,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A7%D8%AA%20%D9%85%D8%AC%D9%85%D9%88%D8%B9%D8%A9%20%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%89%20%D9%85%D8%B9%D8%B1%D8%B6%20%D8%A7%D9%85%D8%AF%D8%B1%20%D9%84%D9%84%D8%A7%D8%AB%D8%A7%D8%AB%20-%20%D8%AC%D8%AF%D8%A9&query_place_id=ChIJ6XQWdl_QwxURyISMOLIC69A,,
google_maps:ChIJCbHKD1HQwxURLBUUG35Wm2U,2026-09-17__full_B_custom_furniture__jeddah,الرونق للمفروشات,Sofa store,Jeddah,+9665•••••981,mobile,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%B1%D9%88%D9%86%D9%82%20%D9%84%D9%84%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A7%D8%AA&query_place_id=ChIJCbHKD1HQwxURLBUUG35Wm2U,,
google_maps:ChIJK8rjBOPRwxUROwf33TKeRKE,2026-09-17__full_B_custom_furniture__jeddah,مركز عالم الديكور,Upholstery shop,Jeddah,+9665•••••528,mobile,none,,,,1,https://www.google.com/maps/search/?api=1&query=%D9%85%D8%B1%D9%83%D8%B2%20%D8%B9%D8%A7%D9%84%D9%85%20%D8%A7%D9%84%D8%AF%D9%8A%D9%83%D9%88%D8%B1&query_place_id=ChIJK8rjBOPRwxUROwf33TKeRKE,,
