segment,keyword,rank,name,category,web,reviews,rating,fit,labeled_by
A,cosmetic dentist,3,عيادات الزلفي الطبي,Medical clinic,instagram,170,3.6,not_fit,llm_name_category_web
A,cosmetic dentist,5,مركز ابتسامتك,Cosmetic dentist,ebtsamatac.med.sa,1458,4.2,fit,llm_name_category_web
A,cosmetic dentist,8,Saudi tecmar polyclinic,Cosmetic dentist,sauditecmar.com,22,4.9,fit,llm_name_category_web
A,cosmetic dentist,10,Dr. Bassem Abukanon  Cosmetic Dentistry Expert,Dentist,about.me,158,4.9,unclear,llm_name_category_web
A,cosmetic dentist,11,بريفيا دنت privea dent,Cosmetic dentist,priveadent.sa,176,4.9,fit,llm_name_category_web
A,cosmetic dentist,12,زراعة الاسنان ابتسامة تجميل فينير تبييض الاسنان دكتور محمد الاحمد Dental implants | Veneer | Hollywood smile | Cosmetic,Cosmetic dentist,mayoclinic.org,71,4.9,unclear,llm_name_category_web
A,cosmetic dentist,13,Lasting Smile Dental Clinics مجمع البسمة الدائمة لطب الأسنان,Dental clinic,lastingsmile.com,559,4.4,fit,llm_name_category_web
A,cosmetic dentist,14,Designer's clinic,Cosmetic dentist,ddclinic.sa,1282,4.6,fit,llm_name_category_web
A,cosmetic dentist,16,عيادات دنتكس لطب الأسنان,Cosmetic dentist,dentex.sa,709,4.6,fit,llm_name_category_web
A,cosmetic dentist,17,عيادات محمد بن مبارك المسن,Private hospital,almasnmed.com.sa,171,3.3,not_fit,llm_name_category_web
A,dermatology clinic,1,عيادات بانوراما كلينك,Dermatologist,none,73,3.5,fit,llm_name_category_web
A,dermatology clinic,2,مجمع عيادات سيرين,Medical clinic,cyrineclinics.com,464,3.9,not_fit,llm_name_category_web
A,dermatology clinic,3,AlMajmaah Medical clinics complex,Medical Center,instagram,449,3.4,not_fit,llm_name_category_web
A,dermatology clinic,4,مجمع درة النخبة الطبي - أسنان ، جلدية,Skin care clinic,none,651,4.6,fit,llm_name_category_web
A,dermatology clinic,4,مجمع الصفوة السعودية الطبي,Hospital,alsafwah.co,122,3.3,not_fit,llm_name_category_web
A,dermatology clinic,6,عيادات المسواك الطبية,Medical clinic,almeswakclinics.com,564,3.8,unclear,llm_name_category_web
A,dermatology clinic,7,مجمع صحة اباس الطبي,Medical Center,linktree,184,4.5,not_fit,llm_name_category_web
A,dermatology clinic,11,مجمع درر الأرطاوية الطبي,Medical Center,none,44,2.7,not_fit,llm_name_category_web
A,dermatology clinic,14,مجمع عيادات علاج سدير الطبي,Medical Center,elajsudair.com,979,3.8,not_fit,llm_name_category_web
A,dermatology clinic,15,Dr. Sulaiman AL-Habib Dermatology  Plastic Surgery and Ophthalmology Centers,Hospital,none,7,3.1,not_fit,llm_name_category_web
A,orthodontic clinic,1,تقويم اسنان - انفزلاين التقويم الشفاف د. براء مصطفى,Dental clinic,webteb.com,125,4.9,unclear,llm_name_category_web
A,orthodontic clinic,2,Rawdah Dental Care with Ortho - Riyadh,Dental clinic,instagram,43,4.8,fit,llm_name_category_web
A,orthodontic clinic,3,د. محمد وسيم تقويم اسنان,Dental clinic,none,2,5,unclear,llm_name_category_web
A,orthodontic clinic,4,Dr. Rajat Sharma Orthodontist,Dental clinic,none,26,4.6,unclear,llm_name_category_web
A,orthodontic clinic,5,Dr. Ahmad Hamdan Orthodontics,Orthodontist,instagram,15,5,unclear,llm_name_category_web
A,orthodontic clinic,7,Dispensary glamor smile teeth,Dental clinic,instagram,417,4.2,fit,llm_name_category_web
A,orthodontic clinic,8,Kharsa Clinics عيادات الخرسا,Dental clinic,kharsaclinics.com,587,4.6,fit,llm_name_category_web
A,orthodontic clinic,9,Dr Praveen BS (Consultant Orthodontist  Senior registrar) Riyadh دكتور برافين (اخصائي اول تقويم الاسنان) بالرياض,Dental clinic,none,8,5,unclear,llm_name_category_web
A,orthodontic clinic,10,الدكتور باسل الميداني - تقويم اسنان - تقويم شفاف Invisalign,Orthodontist,orthodontist-basel.com,33,4.8,unclear,llm_name_category_web
A,orthodontic clinic,11,Sama Dental and Orthodontic Dental Center,Dental clinic,none,228,4.5,fit,llm_name_category_web
A,ابتسامة هوليود,1,Dr. Mostafa Kamel Lets Design Your Perfect Smileالدكتور مصطفى كامل - تجميل الاسنان و ابتسامه هوليود ...,Dental clinic,drmostafakamel.com,58,4.9,unclear,llm_name_category_web
A,ابتسامة هوليود,4,عيادة QB لطب وتجميل الأسنان ابتسامة هوليود 3D,Dental clinic,qahwajiclinic.com,54,4.9,fit,llm_name_category_web
A,ابتسامة هوليود,4,مجمع نمو الطبي - فرع الافلاج,Dental clinic,none,143,4.3,not_fit,llm_name_category_web
A,ابتسامة هوليود,5,مجمع عيادات فيولا الطبي - فرع المجمعة,Beautician,none,785,4.6,not_fit,llm_name_category_web
A,ابتسامة هوليود,6,مجمع عيادات الصافي,Dental clinic,instagram,87,3.7,fit,llm_name_category_web
A,ابتسامة هوليود,9,صفوة المهيدب لطب الأسنان وادي الدواسر,Dental clinic,safwatalmuhaideb.com,344,3.7,not_fit,llm_name_category_web
A,ابتسامة هوليود,12,عيادة د بلال الدالي ابتسامة هوليودية تركيبات اسنان وعلاج خراجات الاسنان,Dental clinic,drbelalaldali.com,75,4.7,fit,llm_name_category_web
A,ابتسامة هوليود,13,Happy Smile,Medical clinic,none,543,4.1,unclear,llm_name_category_web
A,ابتسامة هوليود,19,عيادات المسواك الطبية,Medical clinic,almeswak.com,635,3.3,unclear,llm_name_category_web
A,ابتسامة هوليود,19,Horizon Dental Clinic,Dental clinic,horizondent.com,1084,4.6,fit,llm_name_category_web
