record_id,run_id,name,category_raw,city,phone_masked,phone_type,website_platform,website_domain,store_key,instagram_handle,name_location_count,evidence_url,icp_label,label_note
salla_zid_dork:aayuaq.zid.store,2026-09-17__dork,متجر باء,,,,none,zid,,aayuaq.zid.store,,1,https://aayuaq.zid.store/,unclear,title gives no niche (found by abaya query) [llm_title_only]
salla_zid_dork:salla.sa/guardian-,2026-09-17__dork,متجر جارديان للعطور,,,,none,salla,,salla.sa/guardian-,,1,https://salla.sa/guardian-/,fit,perfume store [llm_title_only]
salla_zid_dork:salla.sa/myeks-byewtye-2023,2026-09-17__dork,متجر ميكس بيوتي - افضل موقع عطور اصلية باعلى جودة ...,,,,none,salla,,salla.sa/myeks-byewtye-2023,,1,https://salla.sa/myeks-byewtye-2023,not_fit,reseller: 'best site for original perfumes' [llm_title_only]
salla_zid_dork:salla.sa/tarkibataloud,2026-09-17__dork,متجر تركيبة العود,,,,none,salla,,salla.sa/tarkibataloud,,1,https://salla.sa/tarkibataloud,fit,oud blends store [llm_title_only]
salla_zid_dork:salla.sa/trf-llawd-,2026-09-17__dork,عود الجميلة - منصة سلة,,,,none,salla,,salla.sa/trf-llawd-,,1,https://salla.sa/trf-llawd-,fit,oud store [llm_title_only]
salla_zid_dork:salla.sa/cupud.com,2026-09-17__dork,متجر فنجان عود,,,,none,salla,,salla.sa/cupud.com,,1,https://salla.sa/cupud.com,fit,oud store [llm_title_only]
salla_zid_dork:salla.sa/alamarye-llattwr,2026-09-17__dork,اكبر متجر عطور وتجميل اصلي باسعار الجمله,,,,none,salla,,salla.sa/alamarye-llattwr,,1,https://salla.sa/alamarye-llattwr/category/BXpdEn,not_fit,wholesale: 'original perfumes and cosmetics at wholesale prices' [llm_title_only]
salla_zid_dork:salla.sa/solitair,2026-09-17__dork,Solitair,,,,none,salla,,salla.sa/solitair,,1,https://salla.sa/solitair/xArdodw,unclear,name only [llm_title_only]
salla_zid_dork:mkyajy5.zid.store,2026-09-17__dork,عطور رجاليه,,,,none,zid,,mkyajy5.zid.store,,1,https://mkyajy5.zid.store/en/categories/1633217/%D8%B9%D8%B7%D9%88%D8%B1-%D8%B1%D8%AC%D8%A7%D9%84%D9%8A%D9%87,unclear,"category page 'men perfumes', store brand unknown [llm_title_only]"
salla_zid_dork:salla.sa/basenotesa,2026-09-17__dork,basenotesa,,,,none,salla,,salla.sa/basenotesa,,1,https://salla.sa/basenotesa/,fit,perfume term in name (base notes) [llm_title_only]
salla_zid_dork:tmymllatwr.zid.store,2026-09-17__dork,تميم للعطور,,,,none,zid,,tmymllatwr.zid.store,,1,https://tmymllatwr.zid.store/,fit,perfume store [llm_title_only]
salla_zid_dork:salla.sa/daralamirat1,2026-09-17__dork,عطور نسائية | دار الأميرات | Dar Alamirat,,,,none,salla,,salla.sa/daralamirat1,,1,https://salla.sa/daralamirat1/Women's-perfumes/c67675456,fit,women perfumes brand [llm_title_only]
salla_zid_dork:salla.sa/nife.3od,2026-09-17__dork,متجر النايف للعطور والعود,,,,none,salla,,salla.sa/nife.3od,,1,https://salla.sa/nife.3od,fit,perfume and oud store [llm_title_only]
salla_zid_dork:ksrh8.zid.store,2026-09-17__dork,متجر لجى,,,,none,zid,,ksrh8.zid.store,,1,https://ksrh8.zid.store/,unclear,name only [llm_title_only]
salla_zid_dork:alamirah-sa.zid.store,2026-09-17__dork,متجر عبايات الأميرة Alamirah,,,,none,zid,,alamirah-sa.zid.store,,1,https://alamirah-sa.zid.store/,fit,abaya store [llm_title_only]
salla_zid_dork:emanabaya11.zid.store,2026-09-17__dork,عباية إيمان بقماش انترنت | عبايات سادة وأنيقة,,,,none,zid,,emanabaya11.zid.store,,1,https://emanabaya11.zid.store/products/iman-internet-fabric-abaya,fit,abaya brand [llm_title_only]
salla_zid_dork:salla.sa/ouda,2026-09-17__dork,باقة العود الأزرق,,,,none,salla,,salla.sa/ouda,,1,https://salla.sa/ouda/azqeyv,fit,oud store (product page) [llm_title_only]
salla_zid_dork:salla.sa/alexandraboutique,2026-09-17__dork,عبايات ألكساندرا,,,,none,salla,,salla.sa/alexandraboutique,,1,https://salla.sa/alexandraboutique,fit,abaya boutique [llm_title_only]
salla_zid_dork:tharwa.zid.store,2026-09-17__dork,بوتيك ثروة للعطور | عطور نيش فاخرة تُعبّر عن التميز ...,,,,none,zid,,tharwa.zid.store,,1,https://tharwa.zid.store/,fit,niche perfume boutique; no reseller signal in title [llm_title_only]
salla_zid_dork:uxghcw.zid.store,2026-09-17__dork,Khawlah's World,,,,none,zid,,uxghcw.zid.store,,1,https://uxghcw.zid.store/,unclear,name only (found by abaya query) [llm_title_only]
