merchant_id,segment,cities,name,tier,score,top_rank,channel,phone_masked,contact_note,instagram_handle,website_domain,bnpl_status_final,reviews_count,rating,n_locations,owner_name_verified,hook_from_page,flags,score_exclusion,hook_ar_ai_drafted
m_071b47be66,A_aesthetic_clinics,riyadh,عيادات البروفيسور - Professor Clinics,A,100,1,mobile_or_whatsapp_and_name,,number on the merchant website (not stored),professorclinic,professorsa.com,not_detected,1652,4.8,2,True,True,medical: Risk review,,السلام عليكم، لاحظنا أن عيادات البروفيسور تقدم زراعة الأسنان وخدمات الليزر؛ هل يفيدكم توفير خيار تقسيم المدفوعات للعملاء؟
m_76f4696f10,A_aesthetic_clinics,jeddah,دكتورة أسماء حجازي,A,97,2,mobile_or_whatsapp_and_name,+9665•••••080,mobile in Google Maps,asmaahigazy2004,dr-asmaahigazy.com,not_detected,2224,4.7,1,True,True,medical: Risk review,,هلا دكتورة أسماء، شفت إنكم تقدمون إزالة الشعر بالليزر؛ هل يفيدكم توفير تقسيط للدفع للعملاء؟
m_2bd43329f1,A_aesthetic_clinics,jeddah,Safa Diamond Clinics,A,95,3,mobile_or_whatsapp,+9665•••••994,mobile in Google Maps,safadiamondclinics,safaalmassiclinic.com,not_detected,4117,4.7,2,False,True,medical: Risk review,,هلا، لاحظنا أنكم تقدمون إزالة الشعر بالليزر بأحدث الأجهزة؛ هل يفيدكم توفير خيار تقسيم الدفع للعملاء؟
m_545586ec5b,A_aesthetic_clinics,jeddah,عيادات الموج فرع الصفا,A,95,4,mobile_or_whatsapp,,number on the merchant website (not stored),almawjclinics,almawj.net,not_detected,3009,4.3,2,False,True,medical: Risk review,,هلا، لاحظنا عرض جلسة ليزر جسم كامل شامل الرتوش وتشقير الوجه والحواجب بسعر ٤٩٦ ريال؛ هل يفيدكم توفير خيار تقسيم الدفع للعملاء؟
m_f2dc02152c,A_aesthetic_clinics,riyadh,Cosmo Prof,A,95,5,mobile_or_whatsapp,,number on the merchant website (not stored),cosmoprofclinic,cosmoprof.com.sa,not_detected,1974,4.7,2,False,True,medical: Risk review,,السلام عليكم، لاحظت أن كوزمو بروف تقدم إزالة الشعر بجهاز Splendor X؛ هل يفيدكم توفير تقسيط للدفع لعملائكم؟
m_b5f3ff2b13,B_custom_furniture,riyadh,تفصيل ستائر ومجالس كنب,A,95,6,mobile_or_whatsapp,+9665•••••187,mobile in Google Maps,,elitesofacurtain.com,not_detected,168,4.8,3,False,True,,,هلا، لاحظنا إنكم تقدمون ستائر بلاك آوت وتركيب احترافي في الرياض؛ هل ممكن يفيدكم تقسيم الدفعات للعملاء؟
m_d598d6402d,A_aesthetic_clinics,jeddah,Cosmohub Clinic - Basaffar Center | عيادات كوزموهب - مركز باصفار,A,94,7,mobile_or_whatsapp_and_name,,number on the merchant website (not stored),basaffarcenter,aesthetics.basaffar-gp.com,not_detected,490,4.7,1,True,True,medical: Risk review,,هلا، لاحظنا أنكم تقدمون علاج تساقط الشعر بأحدث التقنيات؛ هل قد يفيدكم توفير خيار تقسيط الدفع للعملاء؟
m_43c74ba73d,B_custom_furniture,jeddah,تنجيد كنب بجدة مؤسسة عبدالله دهلوي للمفروشات,A,94,8,mobile_or_whatsapp_and_name,+9665•••••108,mobile in Google Maps,,albarakatanged.com,not_detected,7,5,2,True,True,B Jeddah: source relevance 0.40,,شفت إنكم تقدمون تنظيف الكنب قبل التنجيد في جدة؛ هل ممكن يفيدكم خيار تقسيط الدفع للعملاء؟
m_9074c48b86,A_aesthetic_clinics,jeddah,عيادات الشاكرين - فرع السامر | جلدية - تجميل - اسنان,A,92,9,mobile_or_whatsapp,+9661•••••350,number on the merchant website (not stored),alshakreenc,alshakreen.net,not_detected,8993,4.1,4,False,True,medical: Risk review,,هلا، لاحظنا إن عيادات الشاكرين تقدم إزالة الشعر بالليزر؛ هل يفيدكم توفير خيار تقسيم الدفع للعملاء؟
m_1641d3afcf,A_aesthetic_clinics,jeddah,Amanda Medical Center - مركز أماندا الطبي,A,92,10,mobile_or_whatsapp,,number on the merchant website (not stored),amandamedcen,lnk.bio,not_detected,2917,4.3,1,False,True,medical: Risk review,,مرحباً، لاحظنا أن مركز أماندا الطبي مصنّف كعيادة جلدية في جدة؛ هل يفيدكم توفير خيار تقسيم الدفع لعملائكم؟
m_280db82466,A_aesthetic_clinics,jeddah,عيادات أندلسية - فرع الأمير سلطان,A,92,11,mobile_or_whatsapp,+9661•••••647,number on the merchant website (not stored),andalusia_hj,andalusiaksa.com,not_detected,2443,4.4,1,False,True,medical: Risk review,,السلام عليكم، لاحظنا فرع عيادات أندلسية في الأمير سلطان؛ هل يفيدكم توفير خيار تقسيم الدفع لعملائكم؟
m_2e6c42a437,B_custom_furniture,riyadh,"SkiptonWall Wallpaper, Curtains & Blinds",A,92,12,mobile_or_whatsapp,+9665•••••649,mobile in Google Maps,,ksa.skiptonwallcurtains.com,not_detected,2024,4.8,1,False,True,,,السلام عليكم، لاحظت أنكم تقدمون استشارة منزلية مجانية للستائر والورق الجداري؛ هل يفيدكم توفير خيار تقسيط الدفع للعملاء؟
